customer,email,age,gender,merchant,category,amount,fraud,timestamp
C1669649966,moorekatie@example.org,3,F,M348934600,transportation,48.58,0,2023-01-11 00:08:04.033613445
C1669649966,moorekatie@example.org,3,F,M348934600,transportation,5.55,0,2023-01-11 08:08:04.033613445
C1669649966,moorekatie@example.org,3,F,M348934600,transportation,29.47,0,2023-01-11 16:08:04.033613445
C1669649966,moorekatie@example.org,3,F,M348934600,transportation,30.95,0,2023-01-12 00:08:04.033613445
C1669649966,moorekatie@example.org,3,F,M348934600,transportation,5.16,0,2023-01-12 08:08:04.033613445
C1669649966,moorekatie@example.org,3,F,M151143676,barsandrestaurants,109.5,0,2023-01-12 16:08:04.033613445
C1669649966,moorekatie@example.org,3,F,M348934600,transportation,21.31,0,2023-01-13 00:08:04.033613445
C1669649966,moorekatie@example.org,3,F,M348934600,transportation,29.13,0,2023-01-13 08:08:04.033613445
C1669649966,moorekatie@example.org,3,F,M348934600,transportation,4.63,0,2023-01-13 16:08:04.033613445
C1669649966,moorekatie@example.org,3,F,M348934600,transportation,25.85,0,2023-01-14 00:08:04.033613445
C1669649966,moorekatie@example.org,3,F,M348934600,transportation,20.36,0,2023-01-14 08:08:04.033613445
C1669649966,moorekatie@example.org,3,F,M348934600,transportation,18.91,0,2023-01-14 16:08:04.033613445
C1669649966,moorekatie@example.org,3,F,M348934600,transportation,16.85,0,2023-01-15 00:08:04.033613445
C1669649966,moorekatie@example.org,3,F,M348934600,transportation,9.07,0,2023-01-15 08:08:04.033613445
C1669649966,moorekatie@example.org,3,F,M1600850729,fashion,17.77,0,2023-01-15 16:08:04.033613445
C1669649966,moorekatie@example.org,3,F,M348934600,transportation,53.01,0,2023-01-16 00:08:04.033613445
C1669649966,moorekatie@example.org,3,F,M1823072687,transportation,46.93,0,2023-01-16 08:08:04.033613445
C1669649966,moorekatie@example.org,3,F,M1823072687,transportation,0.18,0,2023-01-16 16:08:04.033613445
C1669649966,moorekatie@example.org,3,F,M1823072687,transportation,42.56,0,2023-01-17 00:08:04.033613445
C1670779713,vasquezerin@example.net,2,M,M1535107174,wellnessandbeauty,79.07,0,2023-01-11 00:19:00.936374549
C1670883164,morrisonlaura@example.net,6,F,M692898500,health,58.89,0,2023-01-11 00:29:57.839135654
