customer,email,age,gender,merchant,category,amount,fraud,timestamp
C9900876366,thomastorres@example.com,2,M,M1353266412,sportsandtoys,738.6044862502272,1,2023-08-01 11:15:00
C9900876366,thomastorres@example.com,2,M,M495352832,sportsandtoys,742.9706850542365,1,2023-08-01 11:57:51
C2536600822,markandrews@example.com,3,M,M1353266412,transportation,459.61739274040906,1,2023-08-01 11:09:38
C2131049872,aweber@example.com,5,M,M1741626453,travel,642.3704879477336,1,2023-08-01 11:11:47
C3160530504,randy94@example.org,3,F,M692898500,fashion,233.8758049605792,1,2023-08-01 11:08:34
C4661032866,jthomas@example.com,1,M,M1823072687,transportation,623.0126895828763,1,2023-08-01 11:01:04
C9980545114,amanda39@example.net,1,F,M2080407379,fashion,6777.38019474902,1,2023-08-01 11:08:34
C5778295779,jthomas@example.com,1,M,M1353266412,leisure,6869.84188966402,1,2023-08-01 11:03:12
C0614674404,owensjames@example.net,4,F,M495352832,leisure,648.9529656721348,1,2023-08-01 11:04:17
C8358255900,jeffrey15@example.org,2,F,M78078399,fashion,471.9633555296241,1,2023-08-01 11:05:21
C8358255900,jeffrey15@example.org,2,F,M78078399,fashion,459.0407927572995,1,2023-08-01 11:54:38
C3443530401,jeffrey15@example.org,2,F,M348934600,contents,455.2226077156083,1,2023-08-01 11:05:21
C0417500717,sosborne@example.com,4,M,M349281107,barsandrestaurants,526.2407365831906,1,2023-08-01 11:04:17
C9154934539,owensjames@example.net,4,F,M2080407379,fashion,687.5265037678266,1,2023-08-01 11:10:42
C9545794230,owensjames@example.net,4,F,M1053599405,contents,491.2930295695376,1,2023-08-01 11:15:00
C9545794230,owensjames@example.net,4,F,M1053599405,contents,492.5059680653819,1,2023-08-01 11:48:12
C4583364343,barnesmaxwell@example.net,4,F,M1053599405,barsandrestaurants,223.68915393721645,1,2023-08-01 11:10:42
C0424285794,ashleyallen@example.org,1,M,M1353266412,fashion,703.3491052802999,1,2023-08-01 11:02:08
C0794946920,nwright@example.com,3,M,M692898500,barsandrestaurants,598.2685697736654,1,2023-08-01 11:07:30
C9241916574,nwright@example.com,U,M,M857378720,health,729.0790647936097,1,2023-08-01 11:02:08
C3609892101,owensjames@example.net,6,F,M480139044,transportation,685.3806896250769,1,2023-08-01 11:06:25
C2554545212,amanda39@example.net,1,M,M3697346,leisure,464.2308597881764,1,2023-08-01 11:00:00
C3922423840,mark94@example.com,4,M,M151143676,otherservices,673.0432975699232,1,2023-08-01 11:12:51
C7083005688,jeffrey15@example.org,2,F,M2122776122,transportation,1420.076484552084,1,2023-08-01 11:13:55
C7083005688,jeffrey15@example.org,2,F,M348934600,transportation,1089.8632426363015,1,2023-08-01 11:49:17
C0161987482,thomastorres@example.com,2,M,M1353266412,sportsandtoys,276.97184228293804,1,2023-08-01 11:01:04
C4555896854,amanda39@example.net,2,M,M1352454843,transportation,268.85871870217284,1,2023-08-01 11:09:38
C7595914100,nwright@example.com,3,M,M50039827,fashion,616.6537181269614,1,2023-08-01 11:13:55
C5199462226,randy94@example.org,3,E,M495352832,barsandrestaurants,1120.5758266231471,1,2023-08-01 11:04:17
C1617636505,barnesmaxwell@example.net,4,F,M1600850729,sportsandtoys,323.479083083476,1,2023-08-01 11:03:12
C9872378018,owensjames@example.net,4,F,M480139044,barsandrestaurants,677.9004403381894,1,2023-08-01 11:09:38
C8379373137,sheri48@example.net,6,F,M1053599405,barsandrestaurants,410.30618753602687,1,2023-08-01 11:01:04
C2451595574,gregoryhuffman@example.com,2,M,M495352832,otherservices,519.7801993625606,1,2023-08-01 11:02:08
C9382425043,jthomas@example.com,2,M,M495352832,leisure,429.4302152802288,1,2023-08-01 11:04:17
C9382425043,jthomas@example.com,2,M,M1823072687,leisure,429.6673218153393,1,2023-08-01 11:51:25
C2131415538,ashleyallen@example.org,2,F,M1649169323,contents,874.8217800971029,1,2023-08-01 11:00:00
C9519470198,ashleyallen@example.org,2,F,M1400236507,contents,237.4482614113377,1,2023-08-01 11:00:00
C4478356797,owensjames@example.net,6,F,M1353266412,contents,6937.179735061305,1,2023-08-01 11:00:00
C1462821437,qrangel@example.org,6,M,M50039827,transportation,449.5786510318057,1,2023-08-01 11:13:55
C7025070178,barnesmaxwell@example.net,5,F,M1400236507,otherservices,1180.120975853512,1,2023-08-01 11:03:12
C4823219153,ashleyallen@example.org,2,F,M855959430,transportation,396.0430233877525,1,2023-08-01 11:06:25
C3628607306,osims@example.com,5,F,M855959430,leisure,362.219134632234,1,2023-08-01 11:15:00
C5528647784,owensjames@example.net,4,F,M495352832,hyper,2213.6213516670964,1,2023-08-01 11:03:12
C1643079289,jthomas@example.com,1,M,M1353266412,fashion,622.4681657002958,1,2023-08-01 11:00:00
C2049778596,vdavis@example.net,1,F,M1872033263,hotelservices,207.76124017148624,1,2023-08-01 11:11:47
C2651737258,fosterchase@example.org,3,F,M3697346,sportsandtoys,419.75737206558,1,2023-08-01 11:07:30
C7953221709,thomastorres@example.com,2,M,M2080407379,wellnessandbeauty,581.7007249719412,1,2023-08-01 11:09:38
C3677538473,sosborne@example.com,4,M,M50039827,tech,518.0003606964067,1,2023-08-01 11:04:17
C0721866509,jeffrey15@example.org,2,F,M1788569036,food,655.4806830777128,1,2023-08-01 11:00:00
C9457808858,markandrews@example.com,3,M,M1741626453,leisure,395.9760741507283,1,2023-08-01 11:04:17
C9180540892,ashleyallen@example.org,2,M,M348875670,fashion,890.2753781490904,1,2023-08-01 11:13:55
C1661520161,randy94@example.org,3,F,M1053599405,leisure,443.4842432530541,1,2023-08-01 11:09:38
C4293272649,thomastorres@example.com,2,F,M855959430,otherservices,615.4044951461987,1,2023-08-01 11:01:04
C4293272649,thomastorres@example.com,2,F,M855959430,otherservices,591.8342579728279,1,2023-08-01 11:30:32
C4293272649,thomastorres@example.com,2,F,M855959430,otherservices,595.4461808576773,1,2023-08-01 12:00:00
C9812544059,barnesmaxwell@example.net,5,F,M1535107174,transportation,468.6874362130362,1,2023-08-01 11:01:04
C3455052797,ashleyallen@example.org,2,F,M2080407379,barsandrestaurants,481.8838005794765,1,2023-08-01 11:13:55
C7829263929,qrangel@example.org,6,M,M1352454843,barsandrestaurants,1659.251491911704,1,2023-08-01 11:02:08
C0302764748,amanda39@example.net,5,M,M1823072687,transportation,286.24691619014664,1,2023-08-01 11:01:04
C0302764748,amanda39@example.net,5,M,M348934600,transportation,258.022308525614,1,2023-08-01 11:45:00
C0862758677,sheri48@example.net,3,F,M348934600,barsandrestaurants,5896.4220516899495,1,2023-08-01 11:09:38
C0378891256,jeffrey15@example.org,2,F,M855959430,barsandrestaurants,349.6668583644163,1,2023-08-01 11:05:21
C1204533523,owensjames@example.net,3,F,M1741626453,tech,741.5219230673029,1,2023-08-01 11:03:12
C5325420299,fosterchase@example.org,3,F,M50039827,wellnessandbeauty,2374.470729919255,1,2023-08-01 11:08:34
C8674352958,thomastorres@example.com,2,F,M840466850,leisure,1168.5320090367816,1,2023-08-01 11:10:42
C3193290731,owensjames@example.net,4,F,M348875670,food,465.81023565646416,1,2023-08-01 11:07:30
C3193290731,owensjames@example.net,4,F,M97925176,food,450.4033404068469,1,2023-08-01 11:29:27
C3193290731,owensjames@example.net,4,F,M97925176,food,438.0490634923746,1,2023-08-01 11:51:25
C3860874726,nwright@example.com,3,M,M547558035,leisure,563.2199128564274,1,2023-08-01 11:05:21
C3889549993,owensjames@example.net,4,F,M1913465890,leisure,816.3527455481658,1,2023-08-01 11:01:04
C6997017945,sheri48@example.net,6,F,M1888755466,otherservices,376.36053790290026,1,2023-08-01 11:07:30
C7070181550,jeffrey15@example.org,2,F,M1748431652,transportation,438.1493975348294,1,2023-08-01 11:00:00
C4088961018,qrangel@example.org,5,M,M1823072687,fashion,532.9131300325946,1,2023-08-01 11:02:08
C8777663864,sheri48@example.net,3,F,M1353266412,sportsandtoys,779.5684893226236,1,2023-08-01 11:10:42
C3155088468,qrangel@example.org,2,M,M17379832,contents,408.62316737170977,1,2023-08-01 11:01:04
C6094125322,thomastorres@example.com,2,M,M840466850,otherservices,572.019490649394,1,2023-08-01 11:03:12
C6094125322,thomastorres@example.com,2,M,M840466850,otherservices,579.0793120714277,1,2023-08-01 11:50:21
C0549620757,sosborne@example.com,4,M,M1313686961,leisure,676.3300457780497,1,2023-08-01 11:03:12
C8435379267,thomastorres@example.com,2,M,M480139044,home,341.80141360149594,1,2023-08-01 11:15:00
C9364362699,barnesmaxwell@example.net,5,F,M677738360,tech,510.77230654231846,1,2023-08-01 11:00:00
C3179327141,gregoryhuffman@example.com,2,M,M480139044,leisure,6825.26873508186,1,2023-08-01 11:13:55
C4701105298,aweber@example.com,5,M,M840466850,sportsandtoys,2085.0139458750064,1,2023-08-01 11:05:21
C7152896471,owensjames@example.net,6,F,M17379832,otherservices,522.9948918184587,1,2023-08-01 11:11:47
C0214884138,ashleyallen@example.org,2,M,M151143676,otherservices,6851.731466696534,1,2023-08-01 11:09:38
