customer,email,age,gender,merchant,category,amount,fraud,timestamp
C1638268213,ronaldrivera@example.net,3,M,M1535107174,wellnessandbeauty,142.75,0,2023-08-01 10:11:47
C1638268213,ronaldrivera@example.net,3,M,M1535107174,wellnessandbeauty,66.19,0,2023-08-01 10:21:09
C1638268213,ronaldrivera@example.net,3,M,M1198415165,wellnessandbeauty,52.7,0,2023-08-01 10:30:32
C1638268213,ronaldrivera@example.net,3,M,M151143676,barsandrestaurants,30.65,0,2023-08-01 10:39:54
C1638268213,ronaldrivera@example.net,3,M,M348934600,transportation,31.44,0,2023-08-01 10:49:17
C1638710158,sarah42@example.net,4,F,M348934600,transportation,22.69,0,2023-08-01 10:11:47
C1638710158,sarah42@example.net,4,F,M348934600,transportation,31.97,0,2023-08-01 10:13:55
C1638710158,sarah42@example.net,4,F,M348934600,transportation,19.12,0,2023-08-01 10:16:04
C1638710158,sarah42@example.net,4,F,M151143676,barsandrestaurants,55.24,0,2023-08-01 10:18:12
C1638710158,sarah42@example.net,4,F,M348934600,transportation,4.55,0,2023-08-01 10:20:21
C1638710158,sarah42@example.net,4,F,M348934600,transportation,8.82,0,2023-08-01 10:22:29
C1638710158,sarah42@example.net,4,F,M348934600,transportation,5.87,0,2023-08-01 10:24:38
C1638710158,sarah42@example.net,4,F,M348934600,transportation,57.17,0,2023-08-01 10:26:46
C1638710158,sarah42@example.net,4,F,M348934600,transportation,26.74,0,2023-08-01 10:28:55
C1638710158,sarah42@example.net,4,F,M348934600,transportation,22.03,0,2023-08-01 10:31:04
C1638710158,sarah42@example.net,4,F,M3697346,leisure,186.54,1,2023-08-01 10:33:12
C1638710158,sarah42@example.net,4,F,M348934600,transportation,46.36,0,2023-08-01 10:35:21
C1638710158,sarah42@example.net,4,F,M151143676,barsandrestaurants,120.96,1,2023-08-01 10:37:29
C1638710158,sarah42@example.net,4,F,M348934600,transportation,4.64,0,2023-08-01 10:39:38
C1638710158,sarah42@example.net,4,F,M348934600,transportation,19.92,0,2023-08-01 10:41:46
C1638710158,sarah42@example.net,4,F,M348934600,transportation,15.04,0,2023-08-01 10:43:55
C1638710158,sarah42@example.net,4,F,M348934600,transportation,4.4,0,2023-08-01 10:46:04
C1639665156,spencerhudson@example.net,3,M,M1888755466,otherservices,56.11,0,2023-08-01 10:02:08
C1640022626,christina46@example.com,6,M,M1823072687,transportation,19.91,0,2023-08-01 10:13:55
C1640022626,christina46@example.com,6,M,M1823072687,transportation,66.22,0,2023-08-01 10:16:35
C1640022626,christina46@example.com,6,M,M1823072687,transportation,15.66,0,2023-08-01 10:19:16
C1640022626,christina46@example.com,6,M,M85975013,food,9.43,0,2023-08-01 10:21:57
C1640022626,christina46@example.com,6,M,M1823072687,transportation,33.54,0,2023-08-01 10:24:37
